method,d1,d2,d3,method_id,trainvall_acc,test acc,auroc,auprc
knn/8,NIHCC,CIFAR,NormalNoise,KNNSVM/8,0.8978658536585366,0.953771710395813,0.9999999759082319,0.9999999759044914
knn/8,NIHCC,CIFAR,MNIST,KNNSVM/8,0.8978658536585366,0.9539999961853027,0.9999973600000001,0.9999973509706455
knn/8,NIHCC,CIFAR,FashionMNIST,KNNSVM/8,0.8978658536585366,0.9539999961853027,0.99926505,0.9992178140508645
knn/8,NIHCC,CIFAR,NotMNIST,KNNSVM/8,0.8978658536585366,0.9539628028869629,0.9999781053654244,0.9999783447506005
knn/8,NIHCC,CIFAR,CIFAR100,KNNSVM/8,0.8978658536585366,0.8934999704360962,0.953350635,0.9604340971982026
knn/8,NIHCC,CIFAR,STL10,KNNSVM/8,0.8978658536585366,0.9210625290870667,0.9767418359375,0.979949952394422
knn/8,NIHCC,CIFAR,TinyImagenet,KNNSVM/8,0.8978658536585366,0.9377999901771545,0.9871132899999999,0.9892355632104224
knn/8,NIHCC,CIFAR,MURA,KNNSVM/8,0.8978658536585366,0.8848921060562134,0.9555442235541237,0.9432612393784483
vaemseaeknn/1,NIHCC,CIFAR,UniformNoise,VAEMSEKNNSVM/1,0.8073122529644269,0.9051117300987244,0.9584451169069649,0.8946054630876441
vaemseaeknn/1,NIHCC,CIFAR,NormalNoise,VAEMSEKNNSVM/1,0.8073122529644269,0.873991072177887,0.8987485769260224,0.7917657499145889
vaemseaeknn/1,NIHCC,CIFAR,MNIST,VAEMSEKNNSVM/1,0.8073122529644269,0.8357499837875366,0.9056148650000001,0.8782446478586922
vaemseaeknn/1,NIHCC,CIFAR,FashionMNIST,VAEMSEKNNSVM/1,0.8073122529644269,0.8882499933242798,0.9679537100000001,0.9631933809382414
vaemseaeknn/1,NIHCC,CIFAR,NotMNIST,VAEMSEKNNSVM/1,0.8073122529644269,0.8971373438835144,0.9841149406019899,0.9833409451780956
vaemseaeknn/1,NIHCC,CIFAR,CIFAR100,VAEMSEKNNSVM/1,0.8073122529644269,0.8215499520301819,0.8953776449999999,0.887978888965556
vaemseaeknn/1,NIHCC,CIFAR,STL10,VAEMSEKNNSVM/1,0.8073122529644269,0.8379375338554382,0.9117070625000001,0.9079559163678593
vaemseaeknn/1,NIHCC,CIFAR,TinyImagenet,VAEMSEKNNSVM/1,0.8073122529644269,0.842199981212616,0.915613485,0.9086517364536294
vaemseaeknn/1,NIHCC,CIFAR,MURA,VAEMSEKNNSVM/1,0.8073122529644269,0.8265561461448669,0.8980568465764305,0.8746173867021019
vaebceaeknn/1,NIHCC,CIFAR,UniformNoise,VAEBCEKNNSVM/1,0.8910386965376782,0.939052164554596,0.975949277501792,0.9518491631639533
